Tag,Source Packages,Item,Category,Item Strain,Quantity,Batch Number,Lab Testing,<abbr title='Administrative Hold'>A.H.</abbr>,<abbr title='Packaged Date'>Date</abbr>,<abbr title='Received'>Rcv'd</abbr>
1A4060300003B65000001962,1A4060300003B65000000107,edibles- Mango,Edible (weight),,0,edible R&D,NotSubmitted,,,
1A4060300003B65000001963,1A4060300003B65000000107,edible- Watermelon,Edible (weight),,0,edible R&D,NotSubmitted,,,
1A4060300009859000000461,1A4060300009859000000452,Shake Wautomelon OG x Frosted Zin,Leaf,Wautomelon OG x Frosted Zin,0,,NotSubmitted,,,
1A406030000584D000004207,1A4060300009859000000385,Shake Fire OG,Shake,,0,,TestPassed,,,
1A4060300004719000000522,1A4060300004719000000357,Bulk Oil CO2 1st Pass,Extract (weight),,0,200214-FCLR,NotSubmitted,,,
1A4060300004719000000524,1A4060300004719000000518,Bulk Pre-roll 1g Early Bird,Pre-Roll Leaf,Early Bird,0,,NotSubmitted,,,
1A406030000584D000004173,1A4060300009859000000425,Shake Blueberry Haze,Shake,,0,,TestPassed,,,
1A406030000319F000000155,1A406030000319F000000114,1g Garanimals Crumble Jar,Extract (weight - each),,0,GA200519-A1,NotSubmitted,,,
1A406030000319F000000156,1A406030000319F000000110,1g Garanimals Sauce Jar,Extract (weight - each),,0,GA200716-SA,NotSubmitted,,,
1A406030000319F000000157,1A406030000319F000000119,1g Garanimals Shatter Jar,Extract (weight - each),,0,GA200514-A1,NotSubmitted,,,
1A4060300004719000000520,1A4060300004719000000389,Bulk Oil CO2 Winterization,Extract (weight),,1087,200319-FCLR-EtOH,NotSubmitted,,,
1A4060300004719000000521,"1A4060300004719000000357, 1A4060300004719000000514, 1A4060300004719000000515",Bulk Oil CO2 Reclaim,Extract (weight),,0,200617-RCLM,NotSubmitted,,,
1A4060300009859000000448,"1A4060300009859000000444, 1A4060300009859000000446, 1A4060300009859000000447",Shake Blue Dream,Leaf,Blue Dream,0,,NotSubmitted,,,
1A4060300009859000000449,1A4060300009859000000379,Shake Blue Dream,Leaf,Blue Dream,0,,NotSubmitted,,,
1A406030000584D000004123,1A406030000200A000003427,Shake Trim - GG10,Leaf,GG10,0,,NotSubmitted,,,
1A4060300004719000000516,1A4060300004719000000399,Bulk Oil CO2 Winterization,Extract (weight),,0,RP00286-WIN,Remediated,,,
1A4060300004719000000518,"1A406030000584D000003978, 1A406030000584D000004118",Ground Early Bird,Leaf,Early Bird,0,,NotSubmitted,,,
1A406030000584D000004118,1A4060300009859000000341,Ground Purple Punch,Leaf,Purple Punch,0,,TestPassed,,,
1A4060300004719000000512,1A4060300004719000000505,Bulk Oil EHO 1st Pass,Extract (weight),,0,051019-FCLR,NotSubmitted,,,
1A4060300004719000000513,"1A4060300004719000000509, 1A4060300004719000000512",Bulk Oil EHO 1st Pass,Extract (weight),,0,051019-FCLR,NotSubmitted,,,
1A4060300004719000000514,"1A4060300004719000000511, 1A4060300004719000000512",Bulk Oil CO2 Reclaim,Extract (weight),,0,200617-RCLM,NotSubmitted,,,
1A4060300004719000000511,"1A4060300004719000000321, 1A4060300004719000000505, 1A4060300004719000000507, 1A4060300004719000000509",Bulk Oil CO2 Reclaim,Extract (weight),,0,200617-RCLM,NotSubmitted,,,
1A4060300004719000000509,1A4060300004719000000505,Bulk Oil EHO 1st Pass,Extract (weight),,0,051019-FCLR,NotSubmitted,,,
1A4060300004719000000507,"1A4060300004719000000498, 1A4060300004719000000505",Bulk Oil CO2 Reclaim,Extract (weight),,0,200617-RCLM,NotSubmitted,,,
1A4060300004719000000505,1A4060300004719000001001,Bulk Oil CO2 Raw,Extract (weight),,0,051019-RAW,NotSubmitted,,,
1A406030000584D000003978,1A4060300009859000000412,Ground Fire OG,Leaf,Fire OG,0,,NotSubmitted,,,
1A4060300003B65000001902,1A4060300003B65000000106,Edibles-Sparc-Vegan-Mango,Edible (weight),,0,SPARC Project,NotSubmitted,,,
1A4060300003B65000001903,1A4060300003B65000000106,Edibles-Sparc-Vegan-Watermelon (P),Edible (weight),,0,SPARC Project,NotSubmitted,,,
1A4060300003B65000001904,1A4060300003B65000000106,Edibles-Sparc-Vegan-Strawberry Kiwi,Edible (weight),,0,SPARC Project,NotSubmitted,,,
1A4060300003B65000001905,1A4060300003B65000000106,Edibles-Sparc-Vegan-Watermelon (G),Edible (weight),,0,SPARC Project,NotSubmitted,,,
